local_id,sex,date_of_birth,species,strain,cage_code
IMPORT-001,M,2026-08-01,Mus musculus,C57BL/6J,D001
IMPORT-002,F,2026-08-02,Mus musculus,BALB/cJ,D002
IMPORT-003,M,2026-07-15,Mus musculus,129S1/SvImJ,D003
IMPORT-004,F,2026-07-20,Mus musculus,DBA/2J,D004
IMPORT-005,M,2026-06-10,Mus musculus,C57BL/6J,D010
IMPORT-006,F,2026-06-12,Mus musculus,BALB/cJ,D020
IMPORT-007,M,2026-05-03,Mus musculus,129S1/SvImJ,D030
IMPORT-008,F,2026-05-04,Mus musculus,DBA/2J,D040
IMPORT-009,X,2026-08-05,Mus musculus,C57BL/6J,D005
IMPORT-010,M,08/06/2026,Mus musculus,C57BL/6J,D006
IMPORT-011,F,2026-08-07,Mus musculus,C57BL/6J,CAGE-DOES-NOT-EXIST
IMPORT-012,M,2026-08-08,Mus musculus,Unknown Strain,D008
IMPORT-013,F,,Mus musculus,BALB/cJ,D009
IMPORT-014,M,2026-08-10,,C57BL/6J,D011
IMPORT-015,F,2026-08-11,Mus musculus,,D012
IMPORT-016,M,2026-08-12,Mus musculus,C57BL/6J,
IMPORT-017,F,not-a-date,Mus musculus,BALB/cJ,D014
IMPORT-018,M,2026-04-20,Mus musculus,C57BL/6J,D050
